loan_id,customer_id,loan_type,loan_amount,balance,insurance_flag,charge_off_amount,charge_off_date
1030,30,Auto,33016,29024,Yes,20202.898380492694,2023-10-10
1100,100,Personal,20106,20282,Yes,11961.282356841095,2024-09-24
1145,145,Auto,10569,3243,Yes,2843.622659412917,2025-08-31
1026,26,Credit Card,19683,11167,Yes,9987.803783275302,2024-09-10
1185,185,Auto,5302,12053,No,,2025-01-23
1105,105,Auto,9809,15060,Yes,13334.531437313653,2025-03-28
1044,44,Personal,18843,5324,No,5183.706978538372,2024-12-21
1053,53,Personal,15975,14234,Yes,8301.109286196983,2024-12-30
1122,122,Credit Card,20254,27727,No,24552.04073951926,2025-06-17
1174,174,Auto,28321,27215,No,23249.393552630278,2024-05-28
1091,91,Auto,15344,9162,No,6750.441982921141,2024-03-02
1022,22,Auto,8709,24275,No,12840.509590032416,2025-05-21
1102,102,Personal,28524,1077,No,578.7229439626044,2023-09-17
1008,8,Personal,30731,5632,No,5216.3996803033915,2024-08-29
1001,1,Credit Card,31962,24333,Yes,24213.14017707075,2024-12-07
1078,78,Credit Card,34548,28534,No,,2026-03-08
1097,97,Personal,23384,24325,Yes,17586.467909013034,2024-03-14
1135,135,Auto,33920,26053,Yes,21462.11806577495,2023-09-13
1113,113,Auto,12239,7565,No,6030.802337531973,2023-08-22
1137,137,Auto,9637,1922,No,1329.6513822498025,2024-01-25
1079,79,Credit Card,6015,15231,Yes,8115.275904003395,2025-12-17
1012,12,Auto,11588,9258,No,8431.783433549044,2025-05-18
1043,43,Personal,35354,25818,No,17708.999028942693,2025-12-12
1095,95,Credit Card,34189,9007,No,8190.901144858672,2025-08-03
1002,2,Personal,33295,9152,No,5731.480038574037,2025-10-30
1129,129,Auto,13017,25519,Yes,12772.63564809036,2025-03-23
1069,69,Credit Card,22308,1009,Yes,584.6843639131237,2025-03-22
1127,127,Personal,18051,32110,No,,2024-04-08
1021,21,Auto,14435,16728,Yes,16262.15560278729,2023-12-17
1118,118,Auto,29285,20096,No,11074.84149068249,2024-10-27
1058,58,Personal,5667,33043,Yes,30634.32678876676,2025-08-08
1190,190,Auto,13150,12694,Yes,9692.021938656688,2024-01-19
1023,23,Auto,35355,7738,Yes,7064.4874428798,2024-06-09
1031,31,Credit Card,28960,28285,No,18362.26039027597,2023-12-05
1064,64,Credit Card,32355,2828,No,2601.6852908468754,2024-04-27
1007,7,Auto,6324,7229,No,6407.86793837074,2025-04-24
1086,86,Auto,11970,1235,No,759.5581492719105,2023-11-18
1036,36,Personal,39620,28139,No,15917.319561016744,2025-12-19
1080,80,Auto,32712,33293,No,,2024-09-19
1101,101,Personal,28574,24930,Yes,24471.744885131244,2024-06-01
1066,66,Auto,25159,21618,Yes,11147.346709296902,2024-03-21
1157,157,Auto,23271,17478,No,,2023-08-10
1130,130,Credit Card,11941,32273,No,30813.042270909475,2024-05-02
1167,167,Auto,18716,25938,No,24088.103034347616,2025-01-28
1019,19,Personal,9748,8943,No,,2024-08-29
1024,24,Auto,18116,16913,No,14884.23557431177,2025-06-29
1111,111,Credit Card,9544,12954,Yes,9341.769083941155,2023-09-14
1033,33,Personal,22312,2605,No,1708.8174676199073,2023-08-08
1114,114,Auto,19489,6984,No,4612.033649609941,2025-05-10
1138,138,Auto,9854,34187,Yes,29476.41895432941,2023-12-31
1027,27,Credit Card,5504,11554,Yes,10085.70041850288,2025-06-04
1176,176,Credit Card,27574,28306,No,16988.68295864493,2024-07-03
1172,172,Credit Card,21282,18368,No,17156.839919097038,2025-01-05
1116,116,Auto,37049,19574,Yes,16783.961581459396,2024-09-10
1094,94,Credit Card,5404,22852,No,17855.98477175949,2025-12-05
1051,51,Auto,18323,1117,Yes,821.8508789672534,2025-10-13
1155,155,Credit Card,27415,4756,No,3669.8076121685203,2024-08-15
1125,125,Credit Card,31698,2970,No,1721.4799213447077,2024-12-23
1194,194,Credit Card,20034,14224,No,8560.723284852862,2024-04-14
1192,192,Auto,21748,32880,Yes,17938.74422227779,2026-01-31
