loan_id,customer_id,loan_type,loan_amount,balance,insurance_flag
1001,1,Credit Card,31962,24333,Yes
1002,2,Personal,33295,9152,No
1003,3,Credit Card,18807,11267,Yes
1004,4,Personal,31432,26289,Yes
1005,5,Auto,22749,2062,No
1006,6,Personal,31256,30926,No
1007,7,Auto,6324,7229,No
1008,8,Personal,30731,5632,No
1009,9,Credit Card,28803,4596,No
1010,10,Credit Card,24870,7168,No
1011,11,Auto,39578,8561,Yes
1012,12,Auto,11588,9258,No
1013,13,Auto,31790,17616,Yes
1014,14,Personal,30289,27734,No
1015,15,Personal,33178,7371,Yes
1016,16,Auto,33710,27069,No
1017,17,Credit Card,20485,15369,Yes
1018,18,Personal,25652,13910,No
1019,19,Personal,9748,8943,No
1020,20,Personal,26233,13199,No
1021,21,Auto,14435,16728,Yes
1022,22,Auto,8709,24275,No
1023,23,Auto,35355,7738,Yes
1024,24,Auto,18116,16913,No
1025,25,Auto,30470,20123,Yes
1026,26,Credit Card,19683,11167,Yes
1027,27,Credit Card,5504,11554,Yes
1028,28,Auto,38982,18260,No
1029,29,Personal,39299,4812,No
1030,30,Auto,33016,29024,Yes
1031,31,Credit Card,28960,28285,No
1032,32,Credit Card,38591,27900,No
1033,33,Personal,22312,2605,No
1034,34,Credit Card,7105,6622,No
1035,35,Auto,27700,7767,No
1036,36,Personal,39620,28139,No
1037,37,Auto,25559,12613,Yes
1038,38,Auto,32509,11589,Yes
1039,39,Personal,32860,14918,No
1040,40,Auto,16003,21119,No
1041,41,Credit Card,26732,28446,No
1042,42,Auto,30826,14046,Yes
1043,43,Personal,35354,25818,No
1044,44,Personal,18843,5324,No
1045,45,Personal,11190,11787,Yes
1046,46,Unknown,22640,10111,Yes
1047,47,Personal,8330,17389,No
1048,48,Personal,24087,15043,No
1049,49,Auto,29504,29746,Yes
1050,50,Credit Card,12114,23350,Yes
1051,51,Auto,18323,1117,Yes
1052,52,Personal,39121,19935,No
1053,53,Personal,15975,14234,Yes
1054,54,Auto,16023,1846,Yes
1055,55,Credit Card,26447,11954,No
1056,56,Personal,29933,14703,Yes
1057,57,Personal,28959,23700,No
1058,58,Personal,5667,33043,Yes
1059,59,Auto,34703,7469,Yes
1060,60,Personal,14337,31105,Yes
1061,61,Credit Card,24129,27386,No
1062,62,Personal,36921,3048,No
1063,63,Personal,38307,13941,No
1064,64,Credit Card,32355,2828,No
1065,65,Personal,9835,2917,No
1066,66,Auto,25159,21618,Yes
1067,67,Auto,18216,33254,Yes
1068,68,Auto,36471,21128,No
1069,69,Credit Card,22308,1009,Yes
1070,70,Personal,32532,17644,Yes
1071,71,Auto,39349,23422,Yes
1072,72,Credit Card,10713,10865,Yes
1073,73,Personal,9804,3219,Yes
1074,74,Credit Card,15136,6287,No
1075,75,Auto,5009,9512,No
1076,76,Auto,24255,2342,No
1077,77,Auto,28793,20216,No
1078,78,Credit Card,34548,28534,No
1079,79,Credit Card,6015,15231,Yes
1080,80,Auto,32712,33293,No
1081,81,Unknown,39961,27614,No
1082,82,Auto,13415,29253,Yes
1083,83,Auto,28833,18988,No
1084,84,Personal,9158,32037,No
1085,85,Credit Card,25309,13219,No
1086,86,Auto,11970,1235,No
1087,87,Auto,11938,2908,Yes
1088,88,Credit Card,26168,9567,No
1089,89,Personal,25384,6256,No
1090,90,Personal,23017,20019,Yes
1091,91,Auto,15344,9162,No
1092,92,Credit Card,13702,6415,No
1093,93,Personal,5384,6951,No
1094,94,Credit Card,5404,22852,No
1095,95,Credit Card,34189,9007,No
1096,96,Auto,17763,31523,Yes
1097,97,Personal,23384,24325,Yes
1098,98,Auto,37606,22204,No
1099,99,Personal,14860,16524,No
1100,100,Personal,20106,20282,Yes
1101,101,Unknown,28574,24930,Yes
1102,102,Personal,28524,1077,No
1103,103,Personal,8636,21611,No
1104,104,Credit Card,15916,17984,No
1105,105,Auto,9809,15060,Yes
1106,106,Credit Card,37201,18449,Yes
1107,107,Personal,18456,19520,Yes
1108,108,Auto,39816,10510,No
1109,109,Personal,22100,30287,Yes
1110,110,Auto,26949,29173,No
1111,111,Credit Card,9544,12954,Yes
1112,112,Auto,31657,8804,No
1113,113,Auto,12239,7565,No
1114,114,Auto,19489,6984,No
1115,115,Auto,33538,22526,Yes
1116,116,Auto,37049,19574,Yes
1117,117,Personal,13427,10184,Yes
1118,118,Auto,29285,20096,No
1119,119,Auto,27928,3192,No
1120,120,Unknown,24198,12246,No
1121,121,Auto,24758,19381,No
1122,122,Credit Card,20254,27727,No
1123,123,Personal,6252,5018,Yes
1124,124,Auto,17173,12302,No
1125,125,Credit Card,31698,2970,No
1126,126,Credit Card,20781,28202,No
1127,127,Personal,18051,32110,No
1128,128,Unknown,11949,18586,Yes
1129,129,Unknown,13017,25519,Yes
1130,130,Credit Card,11941,32273,No
1131,131,Auto,30934,22951,Yes
1132,132,Credit Card,28386,16374,No
1133,133,Auto,15209,6788,Yes
1134,134,Credit Card,22715,6408,No
1135,135,Auto,33920,26053,Yes
1136,136,Personal,36703,10446,No
1137,137,Auto,9637,1922,No
1138,138,Auto,9854,34187,Yes
1139,139,Personal,24856,11789,No
1140,140,Auto,26833,33184,No
1141,141,Personal,24963,2120,No
1142,142,Auto,32169,33154,No
1143,143,Credit Card,12941,18334,No
1144,144,Unknown,19388,3336,Yes
1145,145,Unknown,10569,3243,Yes
1146,146,Auto,9300,20029,Yes
1147,147,Auto,17015,33265,No
1148,148,Credit Card,11254,24710,Yes
1149,149,Auto,22144,30486,No
1150,150,Credit Card,29214,7371,No
1151,151,Personal,20183,7359,No
1152,152,Credit Card,11238,21103,No
1153,153,Credit Card,11090,15382,Yes
1154,154,Personal,16637,19755,Yes
1155,155,Credit Card,27415,4756,No
1156,156,Auto,29071,21609,No
1157,157,Auto,23271,17478,No
1158,158,Credit Card,38434,11147,No
1159,159,Auto,9188,34561,Yes
1160,160,Credit Card,15161,6779,No
1161,161,Auto,33732,13298,No
1162,162,Auto,16314,15153,No
1163,163,Credit Card,28954,11789,Yes
1164,164,Auto,26508,13999,No
1165,165,Credit Card,26969,1814,No
1166,166,Auto,28061,11541,Yes
1167,167,Auto,18716,25938,No
1168,168,Personal,21907,3443,Yes
1169,169,Personal,23777,11457,No
1170,170,Credit Card,32693,11380,No
1171,171,Personal,31329,8783,Yes
1172,172,Credit Card,21282,18368,No
1173,173,Personal,28624,16328,No
1174,174,Auto,28321,27215,No
1175,175,Credit Card,15488,34595,No
1176,176,Credit Card,27574,28306,No
1177,177,Auto,10240,20915,No
1178,178,Credit Card,15478,16343,No
1179,179,Credit Card,24262,1126,Yes
1180,180,Personal,9432,28632,No
1181,181,Credit Card,34721,21530,Yes
1182,182,Auto,18568,4368,No
1183,183,Personal,19178,4797,No
1184,184,Personal,27195,14718,Yes
1185,185,Auto,5302,12053,No
1186,186,Auto,22022,23116,No
1187,187,Personal,5055,2645,Yes
1188,188,Unknown,13717,20256,No
1189,189,Personal,33699,3708,No
1190,190,Auto,13150,12694,Yes
1191,191,Personal,7125,10524,No
1192,192,Auto,21748,32880,Yes
1193,193,Personal,9621,33409,No
1194,194,Unknown,20034,14224,No
1195,195,Personal,10126,26150,No
1196,196,Personal,10122,8973,No
1197,197,Auto,23030,9577,No
1198,198,Auto,22302,9070,No
1199,199,Auto,24181,9666,No
1200,200,Personal,6531,7783,No
